Player_Name,Player_Type,Role,Runs,Balls_Faced,Strike_Rate,Opponent_Team,Opponent_Bowler,Bowler_Type,Bowler_Variation,Ball_Line,Ball_Length,How_Out,Ground,Country,Ground_Type,Ground_Dimensions,Pitch_Type,Weather,Shot_Strength,Weakness
Pathum Nissanka,Batsman,1,5,12,41.66,India,Axar,Left Arm Orthodox,Arm Ball,Off stump,Yorker,LBW,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Dry,Short Ball,Left Arm Fast
Avishka Fernando,Batsman,3,9,39,125.64,Pakistan,Shadab,Right Arm Leg Spin,Slider,Off stump,Short,Run Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Cloudy,Short Ball,Right Arm Medium
Avishka Fernando,Batsman,1,8,15,53.33,India,Bumrah,Right Arm Fast,Yorker,Middle stump,Full,LBW,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Cloudy,Pace,Left Arm Medium
Sadeera samarawickrama,Batsman,4,0,2,0.0,Pakistan,Dahani,Right Arm Fast,Yorker,Leg stump,Good length,Run Out,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Humid,Off-side,Right Arm Fast
Oshada fernando,Batsman,4,1,14,7.14,Pakistan,Naseem,Right Arm Fast,Slower Ball,Middle stump,Good length,Stumped,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Hot,Off-side,Left Arm Wrist Spin
Dananjaya De Silva,All-rounder,9,17,17,100.0,England,Moeen,Right Arm Off Spin,Off Break,Leg stump,Yorker,Not Out,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Cloudy,Spin,Right Arm Off Spin
Dananjaya De Silva,All-rounder,3,9,12,75.0,England,Rashid,Right Arm Leg Spin,Slider,Middle stump,Full,Not Out,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Dry,Off-side,Right Arm Mystery
Kusal mendis,Batsman,3,1,10,10.0,South Africa,Jansen,Left Arm Fast,Swing,Middle stump,Yorker,Caught,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Humid,Pace,Left Arm Chinaman
Charith Asalanka,All-rounder,5,77,71,108.45,Bangladesh,Taskin,Right Arm Fast,Bouncer,Wide,Short,LBW,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Cloudy,Pace,Right Arm Mystery
Charith Asalanka,All-rounder,5,62,61,101.63,South Africa,Fortuin,Left Arm Orthodox,Arm Ball,Wide,Good length,Stumped,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Dry,Spin,Left Arm Orthodox
Sadeera samarawickrama,Batsman,2,1,7,14.28,South Africa,Jansen,Left Arm Fast,Bouncer,Off stump,Good length,Bowled,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Hot,Short Ball,Right Arm Mystery
Charith Asalanka,All-rounder,5,65,68,95.58,Bangladesh,Nasum,Left Arm Orthodox,Drift,Middle stump,Yorker,Bowled,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Humid,Off-side,Right Arm Mystery
Sadeera samarawickrama,Batsman,6,8,17,47.05,Pakistan,Abrar,Right Arm Mystery,Doosra,Leg stump,Yorker,Bowled,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Hot,Short Ball,Left Arm Medium
Dananjaya De Silva,All-rounder,5,4,21,19.04,Australia,Ellis,Right Arm Fast,Slower Ball,Off stump,Full,Run Out,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Cloudy,Spin,Right Arm Off Spin
Dananjaya De Silva,All-rounder,5,155,262,59.16,Australia,Ellis,Right Arm Fast,Yorker,Off stump,Yorker,LBW,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Hot,Spin,Left Arm Orthodox
Dananjaya De Silva,All-rounder,5,166,291,57.04,England,Willey,Left Arm Medium,Cutter,Middle stump,Bouncer,Caught,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Dry,Pace,Left Arm Fast
Charith Asalanka,All-rounder,5,38,65,58.46,Pakistan,Wasim Jr,Left Arm Medium,Swing,Off stump,Bouncer,Stumped,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Dry,Spin,Right Arm Leg Spin
Kusal mendis,Batsman,3,69,69,100.0,South Africa,Maharaj,Left Arm Orthodox,Drift,Wide,Short,Caught,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Cloudy,Pace,Right Arm Off Spin
Kusal mendis,Batsman,3,36,37,97.29,Pakistan,Haris,Right Arm Fast,Slower Ball,Leg stump,Good length,Stumped,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Dry,On-side,Left Arm Wrist Spin
Kusal mendis,Batsman,3,3,6,50.0,India,Ashwin,Right Arm Off Spin,Arm Ball,Off stump,Full,Not Out,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Hot,On-side,Right Arm Fast
Avishka Fernando,Batsman,2,10,15,66.66,Pakistan,Abrar,Right Arm Mystery,Doosra,Off stump,Yorker,LBW,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Cloudy,Short Ball,Right Arm Mystery
Dananjaya De Silva,All-rounder,3,0,7,0.0,Australia,Ellis,Right Arm Fast,Bouncer,Leg stump,Good length,Caught,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Humid,Spin,Right Arm Medium
Pathum Nissanka,Batsman,1,28,33,84.84,Australia,Zampa,Right Arm Leg Spin,Slider,Wide,Bouncer,Run Out,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Humid,Short Ball,Left Arm Chinaman
Avishka Fernando,Batsman,3,30,29,103.44,Australia,Ellis,Right Arm Fast,Bouncer,Leg stump,Full,Bowled,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Hot,Pace,Right Arm Fast
Kusal mendis,Batsman,3,15,16,93.75,Australia,Cummins,Right Arm Fast,Bouncer,Off stump,Yorker,Bowled,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Dry,Pace,Left Arm Fast
Kusal mendis,Batsman,3,11,10,110.0,England,Curran,Left Arm Medium,Cutter,Off stump,Short,Stumped,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Cloudy,On-side,Right Arm Medium
Kusal mendis,Batsman,4,119,119,100.0,Bangladesh,Hasan Mahmud,Right Arm Fast,Yorker,Wide,Yorker,Bowled,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Cloudy,Off-side,Left Arm Orthodox
Dananjaya De Silva,All-rounder,5,166,291,57.04,Pakistan,Dahani,Right Arm Fast,Yorker,Wide,Good length,Bowled,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Cloudy,Short Ball,Right Arm Off Spin
Avishka Fernando,Batsman,2,34,50,68.0,South Africa,Jansen,Left Arm Fast,Swing,Leg stump,Yorker,LBW,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Cloudy,On-side,Left Arm Fast
Dananjaya De Silva,All-rounder,5,50,79,63.29,South Africa,Fortuin,Left Arm Orthodox,Arm Ball,Wide,Short,Bowled,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Hot,On-side,Right Arm Leg Spin
Pathum Nissanka,Batsman,1,45,65,69.23,Bangladesh,Taskin,Right Arm Fast,Slower Ball,Leg stump,Short,Bowled,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Dry,Pace,Right Arm Fast
Kusal mendis,Batsman,3,54,48,112.5,England,Jacks,Right Arm Off Spin,Off Break,Wide,Short,Stumped,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Hot,Pace,Right Arm Off Spin
Sadeera samarawickrama,Batsman,4,38,50,76.0,Pakistan,Wasim Jr,Left Arm Medium,Cutter,Off stump,Full,Not Out,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Dry,Short Ball,Left Arm Chinaman
Kusal mendis,Batsman,4,0,1,0.0,England,Livingstone,Right Arm Off Spin,Arm Ball,Leg stump,Bouncer,Not Out,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Hot,Short Ball,Left Arm Wrist Spin
Kusal mendis,Batsman,3,34,34,100.0,India,Hardik,Right Arm Medium,Knuckle Ball,Off stump,Bouncer,LBW,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Humid,Short Ball,Left Arm Chinaman
Kusal mendis,Batsman,3,102,107,95.32,Australia,Hazlewood,Right Arm Fast,Bouncer,Middle stump,Full,Not Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Hot,Short Ball,Right Arm Fast
Pathum Nissanka,Batsman,1,9,18,50.0,England,Livingstone,Right Arm Off Spin,Arm Ball,Off stump,Full,Stumped,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Cloudy,Off-side,Left Arm Chinaman
Kusal mendis,Batsman,3,17,34,50.0,Pakistan,Usama Mir,Right Arm Leg Spin,Topspin,Wide,Bouncer,LBW,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Hot,On-side,Left Arm Orthodox
Pathum Nissanka,Batsman,1,9,18,50.0,South Africa,Jansen,Left Arm Fast,Yorker,Wide,Good length,Run Out,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Humid,Spin,Right Arm Leg Spin
Oshada fernando,Batsman,4,31,45,68.88,Bangladesh,Mehidy,Right Arm Off Spin,Off Break,Leg stump,Yorker,Bowled,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Humid,Short Ball,Right Arm Medium
Dananjaya De Silva,All-rounder,6,24,38,63.15,England,Moeen,Right Arm Off Spin,Arm Ball,Middle stump,Full,Stumped,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Dry,Spin,Right Arm Fast
Pathum Nissanka,Batsman,1,0,3,0.0,South Africa,Hendricks,Left Arm Medium,Swing,Leg stump,Good length,Run Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Hot,Spin,Left Arm Fast
Sadeera samarawickrama,Batsman,6,8,17,47.05,India,Siraj,Right Arm Fast,Slower Ball,Leg stump,Short,Run Out,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Dry,On-side,Left Arm Wrist Spin
Pathum Nissanka,Batsman,1,56,75,74.66,Australia,Starc,Left Arm Fast,Bouncer,Leg stump,Yorker,Run Out,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Humid,Short Ball,Left Arm Fast
Charith Asalanka,All-rounder,5,3,11,27.27,South Africa,Phehlukwayo,Right Arm Medium,Slower Ball,Off stump,Full,Stumped,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Humid,On-side,Right Arm Off Spin
Dananjaya De Silva,All-rounder,7,34,48,70.83,Australia,Ellis,Right Arm Fast,Yorker,Off stump,Full,Caught,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Cloudy,Off-side,Right Arm Fast
Dananjaya De Silva,All-rounder,3,21,44,47.72,Bangladesh,Mehidy,Right Arm Off Spin,Off Break,Leg stump,Short,Run Out,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Dry,Pace,Right Arm Leg Spin
Sadeera samarawickrama,Batsman,4,41,42,97.61,Bangladesh,Taijul,Left Arm Orthodox,Arm Ball,Wide,Bouncer,Run Out,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Humid,Short Ball,Left Arm Wrist Spin
Charith Asalanka,All-rounder,5,77,69,111.59,India,Bumrah,Right Arm Fast,Bouncer,Leg stump,Short,Caught,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Humid,Off-side,Left Arm Medium
Dananjaya De Silva,All-rounder,6,11,24,45.83,South Africa,Nortje,Right Arm Fast,Yorker,Wide,Good length,Stumped,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Cloudy,Short Ball,Left Arm Medium
Avishka Fernando,Batsman,1,8,15,53.33,South Africa,Magala,Right Arm Fast,Slower Ball,Leg stump,Full,Caught,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Cloudy,Pace,Right Arm Leg Spin
Charith Asalanka,All-rounder,5,108,105,102.85,Pakistan,Abrar,Right Arm Mystery,Doosra,Middle stump,Yorker,Not Out,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Cloudy,On-side,Left Arm Medium
Avishka Fernando,Batsman,2,1,4,25.0,India,Thakur,Right Arm Medium,Knuckle Ball,Wide,Bouncer,Bowled,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Hot,Pace,Left Arm Chinaman
Charith Asalanka,All-rounder,5,25,42,59.52,India,Shami,Right Arm Fast,Yorker,Middle stump,Full,Stumped,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Humid,Short Ball,Left Arm Fast
Sadeera samarawickrama,Batsman,4,0,2,0.0,England,Willey,Left Arm Medium,Swing,Wide,Good length,Bowled,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Cloudy,Pace,Left Arm Orthodox
Kusal mendis,Batsman,3,14,21,66.66,India,Shami,Right Arm Fast,Slower Ball,Off stump,Short,Run Out,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Dry,Short Ball,Left Arm Fast
Dananjaya De Silva,All-rounder,5,13,26,50.0,Pakistan,Wasim Jr,Left Arm Medium,Cutter,Off stump,Bouncer,Run Out,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Humid,Short Ball,Left Arm Fast
Dananjaya De Silva,All-rounder,6,58,95,61.05,Pakistan,Wasim Jr,Left Arm Medium,Swing,Leg stump,Full,LBW,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Cloudy,Short Ball,Right Arm Off Spin
Sadeera samarawickrama,Batsman,4,0,2,0.0,South Africa,Magala,Right Arm Fast,Slower Ball,Off stump,Bouncer,Stumped,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Hot,Short Ball,Left Arm Fast
Kusal mendis,Batsman,3,86,87,98.85,India,Axar,Left Arm Orthodox,Drift,Leg stump,Short,Caught,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Dry,On-side,Right Arm Leg Spin
Avishka Fernando,Batsman,2,40,62,64.51,India,Thakur,Right Arm Medium,Knuckle Ball,Leg stump,Short,Stumped,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Cloudy,Spin,Right Arm Mystery
Dananjaya De Silva,All-rounder,6,0,1,0.0,South Africa,Rabada,Right Arm Fast,Yorker,Middle stump,Yorker,Stumped,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Hot,On-side,Right Arm Fast
Dananjaya De Silva,All-rounder,5,1,8,12.5,Pakistan,Wasim Jr,Left Arm Medium,Swing,Leg stump,Good length,Not Out,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Dry,Short Ball,Left Arm Fast
Kusal mendis,Batsman,3,59,75,78.66,Australia,Stoinis,Right Arm Medium,Knuckle Ball,Wide,Full,Caught,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Cloudy,Pace,Right Arm Medium
Pathum Nissanka,Batsman,2,2,4,50.0,England,Curran,Left Arm Medium,Swing,Leg stump,Bouncer,Stumped,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Cloudy,Off-side,Left Arm Orthodox
Sadeera samarawickrama,Batsman,4,0,2,0.0,South Africa,Jansen,Left Arm Fast,Yorker,Off stump,Short,Stumped,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Hot,Short Ball,Right Arm Off Spin
Dananjaya De Silva,All-rounder,6,102,131,77.86,India,Axar,Left Arm Orthodox,Drift,Middle stump,Good length,Bowled,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Cloudy,On-side,Right Arm Fast
Kusal mendis,Batsman,4,55,48,114.58,England,Archer,Right Arm Fast,Slower Ball,Leg stump,Short,Bowled,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Hot,Short Ball,Right Arm Mystery
Pathum Nissanka,Batsman,2,56,68,82.35,Pakistan,Shaheen,Left Arm Fast,Swing,Middle stump,Full,Run Out,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Hot,Off-side,Left Arm Wrist Spin
Dananjaya De Silva,All-rounder,5,14,22,63.63,Bangladesh,Hasan Mahmud,Right Arm Fast,Slower Ball,Wide,Yorker,LBW,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Cloudy,Pace,Right Arm Medium
Dananjaya De Silva,All-rounder,6,14,13,107.69,South Africa,Magala,Right Arm Fast,Slower Ball,Leg stump,Full,Stumped,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Cloudy,Short Ball,Right Arm Fast
Charith Asalanka,All-rounder,5,110,106,103.77,India,Hardik,Right Arm Medium,Knuckle Ball,Wide,Short,Run Out,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Dry,On-side,Right Arm Mystery
Sadeera samarawickrama,Batsman,2,54,48,112.5,Australia,Starc,Left Arm Fast,Yorker,Middle stump,Good length,Stumped,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Hot,Pace,Left Arm Fast
Oshada fernando,Batsman,4,31,45,68.88,Bangladesh,Hasan Mahmud,Right Arm Fast,Slower Ball,Middle stump,Good length,Bowled,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Humid,Short Ball,Left Arm Orthodox
Dananjaya De Silva,All-rounder,5,4,21,19.04,South Africa,Fortuin,Left Arm Orthodox,Arm Ball,Off stump,Yorker,Stumped,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Dry,Pace,Right Arm Fast
Kusal mendis,Batsman,3,3,6,50.0,Bangladesh,Mustafizur,Left Arm Medium,Swing,Wide,Good length,Bowled,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Dry,Short Ball,Right Arm Mystery
Charith Asalanka,All-rounder,5,9,12,75.0,India,Thakur,Right Arm Medium,Slower Ball,Middle stump,Bouncer,Bowled,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Hot,Spin,Left Arm Wrist Spin
Dananjaya De Silva,All-rounder,5,4,21,19.04,South Africa,Jansen,Left Arm Fast,Bouncer,Middle stump,Good length,Not Out,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Dry,Pace,Left Arm Wrist Spin
Kusal mendis,Batsman,4,119,119,100.0,Pakistan,Naseem,Right Arm Fast,Yorker,Wide,Bouncer,LBW,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Hot,On-side,Left Arm Orthodox
Dananjaya De Silva,All-rounder,5,61,95,64.21,Australia,Ellis,Right Arm Fast,Bouncer,Off stump,Yorker,LBW,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Cloudy,Off-side,Right Arm Fast
Kusal mendis,Batsman,4,24,36,66.66,Australia,Abbott,Right Arm Medium,Knuckle Ball,Middle stump,Short,Not Out,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Hot,Off-side,Right Arm Medium
Oshada fernando,Batsman,4,2,3,66.66,Bangladesh,Mustafizur,Left Arm Medium,Swing,Off stump,Yorker,Run Out,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Cloudy,Spin,Left Arm Fast
Dananjaya De Silva,All-rounder,7,129,280,46.07,Bangladesh,Shoriful,Left Arm Fast,Bouncer,Middle stump,Yorker,Bowled,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Cloudy,Spin,Right Arm Medium
Dananjaya De Silva,All-rounder,6,22,34,64.7,England,Woakes,Right Arm Medium,Knuckle Ball,Leg stump,Bouncer,Stumped,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Humid,Spin,Right Arm Leg Spin
Charith Asalanka,All-rounder,5,0,5,0.0,Australia,Stoinis,Right Arm Medium,Slower Ball,Off stump,Yorker,Caught,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Cloudy,On-side,Right Arm Fast
Sadeera samarawickrama,Batsman,4,14,31,45.16,India,Bishnoi,Right Arm Leg Spin,Googly,Off stump,Good length,Not Out,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Cloudy,Spin,Left Arm Medium
Dananjaya De Silva,All-rounder,6,108,179,60.33,Australia,Head,Right Arm Off Spin,Off Break,Leg stump,Full,Run Out,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Dry,Short Ball,Left Arm Orthodox
Avishka Fernando,Batsman,3,30,29,103.44,England,Rashid,Right Arm Leg Spin,Slider,Middle stump,Full,Not Out,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Hot,Off-side,Right Arm Fast
Kusal mendis,Batsman,3,67,95,70.52,India,Chahal,Right Arm Leg Spin,Topspin,Middle stump,Good length,Not Out,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Humid,Spin,Right Arm Off Spin
Oshada fernando,Batsman,3,0,4,0.0,India,Axar,Left Arm Orthodox,Drift,Wide,Bouncer,LBW,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Cloudy,Pace,Right Arm Fast
Dananjaya De Silva,All-rounder,5,41,52,78.84,Pakistan,Nawaz,Left Arm Orthodox,Drift,Middle stump,Yorker,Stumped,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Humid,Spin,Right Arm Medium
Kusal mendis,Batsman,4,38,43,88.37,India,Siraj,Right Arm Fast,Yorker,Middle stump,Yorker,Bowled,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Hot,Pace,Right Arm Fast
Dananjaya De Silva,All-rounder,6,23,46,50.0,England,Willey,Left Arm Medium,Swing,Leg stump,Full,Not Out,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Dry,Pace,Right Arm Leg Spin
Kusal mendis,Batsman,4,41,74,55.4,India,Axar,Left Arm Orthodox,Drift,Wide,Good length,Bowled,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Humid,Short Ball,Left Arm Chinaman
Charith Asalanka,All-rounder,5,15,21,71.42,India,Axar,Left Arm Orthodox,Arm Ball,Middle stump,Yorker,Bowled,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Humid,Pace,Left Arm Chinaman
Kusal mendis,Batsman,4,18,20,90.0,South Africa,Ngidi,Right Arm Fast,Slower Ball,Middle stump,Short,Stumped,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Dry,On-side,Left Arm Chinaman
Charith Asalanka,All-rounder,5,13,27,48.14,Bangladesh,Ebadot,Right Arm Fast,Bouncer,Leg stump,Yorker,Caught,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Hot,Off-side,Right Arm Fast
Kusal mendis,Batsman,4,55,48,114.58,Australia,Cummins,Right Arm Fast,Yorker,Off stump,Short,LBW,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Hot,Spin,Right Arm Mystery
Dananjaya De Silva,All-rounder,3,28,24,116.66,Australia,Agar,Left Arm Spin,Standard,Wide,Good length,Not Out,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Cloudy,On-side,Right Arm Mystery
Kusal mendis,Batsman,3,33,36,91.66,Bangladesh,Taskin,Right Arm Fast,Bouncer,Wide,Full,Run Out,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Hot,Spin,Right Arm Fast
Avishka Fernando,Batsman,2,1,7,14.28,India,Kuldeep,Left Arm Wrist Spin,Flipper,Leg stump,Full,Not Out,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Hot,Spin,Right Arm Leg Spin
Pathum Nissanka,Batsman,1,45,65,69.23,Pakistan,Abrar,Right Arm Mystery,Carrom Ball,Wide,Full,Run Out,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Cloudy,Off-side,Right Arm Leg Spin
Avishka Fernando,Batsman,2,0,2,0.0,Australia,Ellis,Right Arm Fast,Slower Ball,Wide,Yorker,LBW,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Humid,On-side,Right Arm Fast
Avishka Fernando,Batsman,2,9,12,75.0,Bangladesh,Shakib,Left Arm Orthodox,Arm Ball,Leg stump,Bouncer,LBW,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Hot,Spin,Left Arm Orthodox
Charith Asalanka,All-rounder,5,0,1,0.0,Bangladesh,Taskin,Right Arm Fast,Bouncer,Middle stump,Good length,Stumped,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Cloudy,Pace,Right Arm Medium
Dananjaya De Silva,All-rounder,7,129,280,46.07,Bangladesh,Ebadot,Right Arm Fast,Slower Ball,Middle stump,Full,Run Out,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Cloudy,Short Ball,Right Arm Fast
Kusal mendis,Batsman,3,5,21,23.8,Bangladesh,Hasan Mahmud,Right Arm Fast,Slower Ball,Off stump,Bouncer,Caught,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Cloudy,Short Ball,Right Arm Off Spin
Dananjaya De Silva,All-rounder,4,12,23,52.17,Bangladesh,Taijul,Left Arm Orthodox,Arm Ball,Wide,Full,Caught,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Dry,Pace,Right Arm Mystery
Sadeera samarawickrama,Batsman,4,41,42,97.61,India,Bishnoi,Right Arm Leg Spin,Topspin,Wide,Short,Caught,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Hot,Off-side,Right Arm Mystery
Avishka Fernando,Batsman,2,9,12,75.0,South Africa,Jansen,Left Arm Fast,Bouncer,Off stump,Bouncer,Run Out,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Dry,Pace,Left Arm Fast
Dananjaya De Silva,All-rounder,3,1,14,7.14,England,Wood,Right Arm Fast,Yorker,Middle stump,Full,Bowled,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Cloudy,On-side,Right Arm Off Spin
Dananjaya De Silva,All-rounder,3,173,229,75.54,Bangladesh,Mehidy,Right Arm Off Spin,Off Break,Wide,Short,Stumped,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Humid,On-side,Left Arm Medium
Dananjaya De Silva,All-rounder,3,0,3,0.0,Australia,Cummins,Right Arm Fast,Yorker,Wide,Full,Stumped,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Cloudy,Short Ball,Right Arm Medium
Dananjaya De Silva,All-rounder,6,25,63,39.68,South Africa,Ngidi,Right Arm Fast,Slower Ball,Off stump,Short,Caught,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Hot,Short Ball,Left Arm Chinaman
Avishka Fernando,Batsman,3,20,21,95.23,England,Moeen,Right Arm Off Spin,Arm Ball,Leg stump,Short,Run Out,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Cloudy,Pace,Left Arm Chinaman
Avishka Fernando,Batsman,2,5,12,41.66,India,Chahal,Right Arm Leg Spin,Slider,Off stump,Full,Bowled,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Hot,On-side,Right Arm Off Spin
Kusal mendis,Batsman,3,1,7,14.28,Pakistan,Nawaz,Left Arm Orthodox,Drift,Wide,Yorker,Stumped,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Dry,Pace,Right Arm Medium
Avishka Fernando,Batsman,1,76,98,77.55,India,Bishnoi,Right Arm Leg Spin,Googly,Wide,Yorker,Not Out,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Dry,Short Ball,Left Arm Chinaman
Dananjaya De Silva,All-rounder,9,17,17,100.0,India,Hardik,Right Arm Medium,Slower Ball,Leg stump,Bouncer,Bowled,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Humid,Off-side,Left Arm Chinaman
Charith Asalanka,All-rounder,5,14,21,66.66,Pakistan,Usama Mir,Right Arm Leg Spin,Slider,Leg stump,Good length,Run Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Dry,Off-side,Left Arm Chinaman
